Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Region,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD0020,1/28/2024,1/31/2024,CUST272,Customer_33,Consumer,East,Furniture,Bookcases,Metal Bookcase,729.16,4,0.2,0
ORD0021,2/7/2024,2/12/2024,CUST218,Customer_46,Consumer,South,Office Supplies,Paper,A4 Paper Pack,92.37,5,0.03,15.7
ORD0022,8/13/2024,8/20/2024,CUST228,Customer_203,Corporate,East,Office Supplies,Storage,File Cabinet,399.67,3,0.14,23.98
ORD0023,3/22/2024,3/25/2024,CUST152,Customer_155,Consumer,South,Furniture,Chairs,Office Chair,518.01,3,0.15,25.9
ORD0024,9/28/2024,10/5/2024,CUST117,Customer_47,Home Office,East,Furniture,Bookcases,Wooden Bookcase,912.13,3,0.17,27.36
ORD0025,2/10/2024,2/17/2024,CUST241,Customer_180,Home Office,North,Technology,Phones,iPhone,452.37,3,0.15,22.62
ORD0026,10/25/2024,10/27/2024,CUST199,Customer_2,Corporate,East,Furniture,Chairs,Gaming Chair,566.93,3,0.3,-56.69
ORD0027,3/20/2024,3/25/2024,CUST089,Customer_210,Corporate,East,Office Supplies,Storage,File Cabinet,297.45,4,0.05,44.62
ORD0028,12/18/2024,12/24/2024,CUST152,Customer_132,Corporate,East,Office Supplies,Paper,Notebook,775.12,4,0.29,-69.76
ORD0029,6/27/2024,7/2/2024,CUST237,Customer_189,Home Office,North,Office Supplies,Binders,Clip Binder,647.38,2,0.11,58.26
ORD0030,8/2/2024,8/8/2024,CUST265,Customer_134,Corporate,West,Furniture,Tables,Dining Table,758.49,1,0.2,0
ORD0031,6/16/2024,6/17/2024,CUST276,Customer_197,Home Office,West,Technology,Phones,iPhone,68.86,2,0.23,-2.07
ORD0032,2/4/2024,2/5/2024,CUST047,Customer_142,Corporate,East,Office Supplies,Paper,A4 Paper Pack,528.79,4,0.13,37.02
ORD0033,10/10/2024,10/14/2024,CUST114,Customer_58,Home Office,North,Office Supplies,Paper,Notebook,396.47,2,0.19,3.96
ORD0034,10/6/2024,10/8/2024,CUST066,Customer_37,Corporate,North,Office Supplies,Storage,Storage Box,214.03,5,0.25,-10.7
ORD0035,12/20/2024,12/26/2024,CUST038,Customer_172,Consumer,East,Office Supplies,Binders,Ring Binder,138.43,1,0.06,19.38
ORD0036,9/23/2024,9/29/2024,CUST274,Customer_17,Corporate,East,Technology,Phones,iPhone,363.83,4,0.18,7.28
ORD0037,1/28/2024,2/4/2024,CUST050,Customer_274,Consumer,West,Technology,Phones,Samsung Galaxy,847.54,4,0.04,135.61
ORD0038,8/17/2024,8/20/2024,CUST117,Customer_73,Corporate,North,Furniture,Tables,Study Table,476.73,1,0.21,-4.77
ORD0039,6/19/2024,6/26/2024,CUST136,Customer_242,Consumer,West,Furniture,Tables,Dining Table,722.83,3,0.21,-7.23
ORD0040,3/24/2024,3/26/2024,CUST104,Customer_148,Corporate,West,Furniture,Bookcases,Metal Bookcase,580.63,3,0.05,87.09
ORD0041,8/23/2024,8/24/2024,CUST046,Customer_73,Home Office,South,Furniture,Bookcases,Wooden Bookcase,880.13,3,0.24,-35.21
ORD0042,3/20/2024,3/22/2024,CUST109,Customer_80,Home Office,West,Technology,Computers,Laptop,535.59,5,0.14,32.14
ORD0043,2/4/2024,2/6/2024,CUST122,Customer_114,Home Office,West,Office Supplies,Paper,Notebook,624.92,4,0.26,-37.5
ORD0044,8/17/2024,8/19/2024,CUST067,Customer_116,Corporate,East,Furniture,Bookcases,Metal Bookcase,336.74,4,0.13,23.57
ORD0045,3/28/2024,4/3/2024,CUST249,Customer_225,Corporate,North,Office Supplies,Storage,Storage Box,431.45,5,0.18,8.63
ORD0046,11/28/2024,12/5/2024,CUST049,Customer_265,Consumer,South,Furniture,Tables,Dining Table,71.22,5,0.3,-7.12
ORD0047,6/28/2024,6/29/2024,CUST295,Customer_170,Corporate,West,Technology,Computers,Desktop,661.8,1,0.08,79.42
ORD0048,7/15/2024,7/21/2024,CUST143,Customer_134,Home Office,East,Office Supplies,Paper,Notebook,77.9,5,0.16,3.12
ORD0049,4/3/2024,4/7/2024,CUST244,Customer_204,Corporate,West,Technology,Computers,Desktop,186,2,0.15,9.3
ORD0050,12/16/2024,12/18/2024,CUST158,Customer_33,Home Office,West,Office Supplies,Storage,Storage Box,926.73,4,0.28,-74.14
ORD0051,10/31/2024,11/3/2024,CUST079,Customer_187,Corporate,South,Technology,Computers,Desktop,923.45,5,0.26,-55.41
ORD0052,7/21/2024,7/22/2024,CUST014,Customer_24,Home Office,North,Furniture,Tables,Study Table,635.68,3,0.15,31.78
ORD0053,1/9/2024,1/11/2024,CUST042,Customer_268,Corporate,North,Technology,Accessories,Mouse,405.8,5,0.23,-12.17
ORD0054,8/25/2024,8/31/2024,CUST046,Customer_29,Home Office,North,Office Supplies,Paper,A4 Paper Pack,955.81,3,0.22,-19.12
ORD0055,2/6/2024,2/13/2024,CUST014,Customer_109,Consumer,South,Furniture,Bookcases,Metal Bookcase,758.35,1,0.02,136.5
ORD0056,7/28/2024,7/30/2024,CUST210,Customer_273,Home Office,West,Office Supplies,Paper,Notebook,402.12,2,0.27,-28.15
ORD0057,2/21/2024,2/24/2024,CUST167,Customer_287,Consumer,East,Technology,Phones,Samsung Galaxy,570.26,5,0.06,79.84
ORD0058,12/28/2024,12/29/2024,CUST139,Customer_87,Corporate,East,Technology,Accessories,Mouse,267.83,2,0.27,-18.75
ORD0059,8/21/2024,8/26/2024,CUST278,Customer_260,Home Office,South,Furniture,Bookcases,Wooden Bookcase,165.27,3,0.18,3.31
ORD0060,12/10/2024,12/14/2024,CUST046,Customer_45,Home Office,West,Office Supplies,Binders,Clip Binder,467.4,5,0.08,56.09
ORD0061,6/8/2024,6/14/2024,CUST182,Customer_10,Corporate,North,Office Supplies,Paper,A4 Paper Pack,934.15,5,0.01,177.49
ORD0062,8/14/2024,8/18/2024,CUST092,Customer_193,Home Office,North,Office Supplies,Binders,Clip Binder,428.2,1,0.06,59.95
ORD0063,10/18/2024,10/20/2024,CUST242,Customer_177,Home Office,North,Technology,Phones,Samsung Galaxy,401.3,2,0.12,32.1
ORD0064,11/7/2024,11/10/2024,CUST057,Customer_33,Home Office,South,Furniture,Bookcases,Wooden Bookcase,850.47,2,0.11,76.54
ORD0065,11/18/2024,11/19/2024,CUST247,Customer_280,Corporate,West,Office Supplies,Paper,Notebook,774.47,3,0.13,54.21
ORD0066,9/5/2024,9/11/2024,CUST290,Customer_271,Corporate,East,Technology,Computers,Desktop,560.79,4,0.12,44.86
ORD0067,1/20/2024,1/22/2024,CUST102,Customer_78,Consumer,East,Technology,Accessories,Mouse,413.8,3,0.15,20.69
ORD0068,7/25/2024,7/28/2024,CUST046,Customer_110,Consumer,North,Office Supplies,Binders,Clip Binder,526.84,5,0.18,10.54
ORD0069,6/6/2024,6/8/2024,CUST049,Customer_166,Corporate,North,Furniture,Bookcases,Metal Bookcase,174.33,5,0.21,-1.74
ORD0070,10/5/2024,10/9/2024,CUST052,Customer_46,Consumer,South,Technology,Computers,Laptop,580.3,1,0.09,63.83
ORD0071,4/14/2024,4/16/2024,CUST295,Customer_119,Home Office,North,Office Supplies,Storage,File Cabinet,248.25,1,0.04,39.72
ORD0072,6/4/2024,6/5/2024,CUST171,Customer_208,Consumer,West,Office Supplies,Binders,Clip Binder,424.2,4,0.1,42.42
ORD0073,4/4/2024,4/7/2024,CUST075,Customer_71,Corporate,South,Technology,Accessories,Mouse,64.3,2,0.07,8.36
ORD0074,6/24/2024,7/1/2024,CUST194,Customer_73,Consumer,West,Office Supplies,Paper,A4 Paper Pack,987.79,4,0.06,138.29
ORD0075,7/23/2024,7/24/2024,CUST041,Customer_290,Corporate,South,Furniture,Bookcases,Metal Bookcase,961.55,3,0.1,96.16
ORD0076,9/24/2024,10/1/2024,CUST016,Customer_128,Consumer,West,Furniture,Tables,Study Table,36.69,4,0.15,1.83
ORD0077,4/7/2024,4/9/2024,CUST217,Customer_232,Home Office,West,Furniture,Chairs,Gaming Chair,615.98,4,0.02,110.88
ORD0078,4/9/2024,4/16/2024,CUST199,Customer_237,Consumer,West,Technology,Accessories,Headphones,147.75,2,0.09,16.25
ORD0079,7/25/2024,7/30/2024,CUST292,Customer_207,Home Office,North,Technology,Computers,Laptop,104.99,1,0.29,-9.45
ORD0080,1/21/2024,1/26/2024,CUST058,Customer_129,Consumer,East,Technology,Phones,Samsung Galaxy,464.94,5,0.14,27.9
ORD0081,2/2/2024,2/7/2024,CUST035,Customer_161,Home Office,East,Office Supplies,Binders,Clip Binder,177.37,5,0.11,15.96
ORD0082,4/19/2024,4/25/2024,CUST030,Customer_285,Corporate,South,Office Supplies,Paper,Notebook,310.48,4,0.23,-9.31
ORD0083,6/19/2024,6/24/2024,CUST269,Customer_73,Corporate,North,Technology,Accessories,Mouse,965.96,5,0.18,19.32
ORD0084,8/29/2024,8/31/2024,CUST080,Customer_36,Corporate,West,Technology,Phones,Samsung Galaxy,749.47,3,0.28,-59.96
ORD0085,10/5/2024,10/8/2024,CUST129,Customer_247,Home Office,South,Furniture,Chairs,Gaming Chair,913.98,4,0.13,63.98
ORD0086,6/5/2024,6/12/2024,CUST126,Customer_215,Home Office,East,Office Supplies,Storage,Storage Box,137.08,5,0.21,-1.37
ORD0087,11/5/2024,11/8/2024,CUST260,Customer_215,Home Office,North,Furniture,Chairs,Office Chair,124.86,4,0.24,-4.99
ORD0088,10/31/2024,11/6/2024,CUST073,Customer_251,Corporate,West,Office Supplies,Storage,File Cabinet,196.82,2,0,39.36
ORD0089,3/14/2024,3/17/2024,CUST175,Customer_40,Corporate,South,Technology,Phones,iPhone,959.4,3,0.11,86.35
ORD0090,11/10/2024,11/14/2024,CUST239,Customer_221,Corporate,North,Furniture,Bookcases,Metal Bookcase,879.73,2,0.06,123.16
ORD0091,9/4/2024,9/6/2024,CUST039,Customer_43,Home Office,South,Furniture,Tables,Study Table,297.2,5,0.08,35.66
ORD0092,10/19/2024,10/26/2024,CUST117,Customer_163,Home Office,East,Technology,Accessories,Mouse,835.07,3,0.14,50.1
ORD0093,4/2/2024,4/4/2024,CUST001,Customer_244,Corporate,East,Office Supplies,Binders,Ring Binder,116.25,4,0.27,-8.14
ORD0094,1/9/2024,1/15/2024,CUST233,Customer_68,Consumer,East,Office Supplies,Storage,Storage Box,631.43,2,0.03,107.34
ORD0095,2/14/2024,2/17/2024,CUST241,Customer_190,Home Office,South,Office Supplies,Paper,Notebook,528.09,5,0.25,-26.4
ORD0096,8/18/2024,8/21/2024,CUST152,Customer_151,Corporate,South,Office Supplies,Binders,Ring Binder,511.18,3,0.22,-10.22
ORD0097,11/14/2024,11/17/2024,CUST223,Customer_225,Consumer,West,Technology,Phones,Samsung Galaxy,446.56,3,0.08,53.59
ORD0098,12/25/2024,12/27/2024,CUST230,Customer_101,Home Office,West,Furniture,Bookcases,Metal Bookcase,202.88,2,0.27,-14.2
ORD0099,5/21/2024,5/25/2024,CUST048,Customer_145,Consumer,West,Technology,Accessories,Mouse,764.17,2,0.01,145.19
ORD0100,6/6/2024,6/10/2024,CUST225,Customer_280,Home Office,North,Office Supplies,Storage,File Cabinet,911.65,1,0.04,145.86
ORD0101,6/28/2024,7/1/2024,CUST087,Customer_281,Home Office,South,Office Supplies,Storage,File Cabinet,476.68,1,0.15,23.83
ORD0102,2/2/2024,2/7/2024,CUST134,Customer_230,Consumer,West,Office Supplies,Storage,File Cabinet,774.16,2,0.15,38.71
ORD0103,7/1/2024,7/5/2024,CUST157,Customer_90,Home Office,North,Technology,Phones,Samsung Galaxy,699.21,2,0.16,27.97
ORD0104,11/17/2024,11/20/2024,CUST017,Customer_55,Corporate,East,Furniture,Bookcases,Wooden Bookcase,932.6,5,0.14,55.96
ORD0105,7/12/2024,7/17/2024,CUST074,Customer_199,Home Office,North,Office Supplies,Binders,Clip Binder,248.22,5,0.07,32.27
ORD0106,11/23/2024,11/24/2024,CUST203,Customer_97,Corporate,West,Office Supplies,Storage,Storage Box,437.44,4,0.28,-35
ORD0107,8/23/2024,8/28/2024,CUST060,Customer_64,Consumer,East,Technology,Accessories,Mouse,415.78,1,0.11,37.42
ORD0108,8/14/2024,8/16/2024,CUST039,Customer_78,Consumer,West,Technology,Phones,Samsung Galaxy,527.08,4,0.14,31.62
ORD0109,9/30/2024,10/7/2024,CUST010,Customer_192,Corporate,West,Office Supplies,Binders,Clip Binder,240.84,2,0.27,-16.86
ORD0110,7/21/2024,7/27/2024,CUST221,Customer_32,Home Office,West,Office Supplies,Binders,Clip Binder,531.96,1,0.14,31.92
ORD0111,12/4/2024,12/7/2024,CUST277,Customer_187,Consumer,North,Furniture,Tables,Study Table,203.39,2,0.1,20.34
ORD0112,3/24/2024,3/27/2024,CUST287,Customer_36,Corporate,South,Furniture,Tables,Dining Table,384.85,3,0.05,57.73
ORD0113,9/26/2024,9/30/2024,CUST288,Customer_174,Home Office,East,Technology,Computers,Desktop,278.24,5,0.18,5.56
ORD0114,1/3/2024,1/7/2024,CUST227,Customer_229,Corporate,West,Furniture,Chairs,Office Chair,493.21,4,0.01,93.71
ORD0115,6/13/2024,6/14/2024,CUST097,Customer_147,Corporate,North,Furniture,Bookcases,Metal Bookcase,43.79,3,0.27,-3.07
ORD0116,3/10/2024,3/12/2024,CUST030,Customer_290,Corporate,South,Technology,Phones,Samsung Galaxy,156.57,4,0.2,0
ORD0117,5/15/2024,5/19/2024,CUST106,Customer_117,Home Office,North,Furniture,Bookcases,Metal Bookcase,490.63,3,0.24,-19.63
ORD0118,3/24/2024,3/26/2024,CUST264,Customer_246,Corporate,South,Office Supplies,Storage,Storage Box,971.27,4,0.06,135.98
ORD0119,6/27/2024,7/3/2024,CUST094,Customer_255,Consumer,North,Furniture,Bookcases,Wooden Bookcase,293.21,2,0.11,26.39
ORD0120,10/19/2024,10/20/2024,CUST076,Customer_276,Consumer,East,Furniture,Bookcases,Metal Bookcase,621.46,1,0.27,-43.5
ORD0121,6/22/2024,6/29/2024,CUST258,Customer_137,Consumer,North,Technology,Accessories,Mouse,191.93,4,0.16,7.68
ORD0122,11/25/2024,12/1/2024,CUST200,Customer_135,Corporate,North,Office Supplies,Storage,File Cabinet,558.55,1,0.12,44.68
ORD0123,9/24/2024,9/29/2024,CUST140,Customer_248,Consumer,West,Technology,Accessories,Headphones,638.01,2,0.15,31.9
ORD0124,10/24/2024,10/25/2024,CUST234,Customer_84,Consumer,East,Technology,Accessories,Headphones,971.92,1,0.21,-9.72
ORD0125,5/1/2024,5/7/2024,CUST171,Customer_202,Home Office,North,Furniture,Tables,Study Table,118.9,2,0.12,9.51
ORD0126,4/11/2024,4/13/2024,CUST211,Customer_131,Consumer,West,Furniture,Tables,Dining Table,37.1,4,0,7.42
ORD0127,4/30/2024,5/1/2024,CUST248,Customer_36,Consumer,South,Technology,Phones,Samsung Galaxy,845.22,1,0.27,-59.17
ORD0128,10/25/2024,10/30/2024,CUST283,Customer_43,Consumer,East,Office Supplies,Paper,Notebook,591,2,0.01,112.29
ORD0129,12/5/2024,12/8/2024,CUST286,Customer_200,Consumer,South,Furniture,Chairs,Gaming Chair,724.03,1,0.29,-65.16
ORD0130,3/20/2024,3/23/2024,CUST252,Customer_289,Consumer,North,Furniture,Bookcases,Wooden Bookcase,128.3,2,0.05,19.25
ORD0131,2/21/2024,2/24/2024,CUST140,Customer_229,Corporate,North,Furniture,Bookcases,Wooden Bookcase,541.79,4,0.08,65.01
ORD0132,6/8/2024,6/9/2024,CUST168,Customer_169,Consumer,North,Office Supplies,Binders,Ring Binder,423.37,2,0.01,80.44
ORD0133,5/14/2024,5/19/2024,CUST235,Customer_47,Home Office,South,Technology,Computers,Desktop,192.59,5,0.25,-9.63
ORD0134,8/1/2024,8/8/2024,CUST110,Customer_94,Consumer,West,Office Supplies,Binders,Ring Binder,488.05,5,0,97.61
ORD0135,7/13/2024,7/14/2024,CUST242,Customer_172,Corporate,North,Technology,Phones,iPhone,927.78,2,0.15,46.39
ORD0136,7/10/2024,7/14/2024,CUST252,Customer_253,Consumer,East,Furniture,Chairs,Gaming Chair,535.54,4,0.15,26.78
ORD0137,5/5/2024,5/10/2024,CUST227,Customer_159,Home Office,West,Technology,Phones,Samsung Galaxy,178.43,5,0.25,-8.92
ORD0138,3/1/2024,3/2/2024,CUST067,Customer_67,Corporate,East,Technology,Accessories,Mouse,178.07,5,0.11,16.03
ORD0139,3/12/2024,3/15/2024,CUST225,Customer_200,Home Office,North,Office Supplies,Paper,A4 Paper Pack,757.03,1,0.17,22.71
ORD0140,8/6/2024,8/7/2024,CUST139,Customer_64,Corporate,South,Office Supplies,Storage,Storage Box,575.59,3,0.1,57.56
ORD0141,8/15/2024,8/19/2024,CUST152,Customer_120,Corporate,East,Furniture,Tables,Study Table,389.23,1,0.15,19.46
ORD0142,12/30/2024,1/4/2025,CUST012,Customer_180,Consumer,North,Furniture,Bookcases,Metal Bookcase,542.41,5,0.04,86.79
ORD0143,12/9/2024,12/16/2024,CUST103,Customer_10,Consumer,South,Technology,Phones,Samsung Galaxy,653.28,2,0.13,45.73
ORD0144,7/11/2024,7/14/2024,CUST118,Customer_215,Home Office,South,Furniture,Chairs,Gaming Chair,76.84,5,0.08,9.22
ORD0145,12/21/2024,12/26/2024,CUST055,Customer_229,Consumer,South,Furniture,Tables,Dining Table,529.04,5,0.01,100.52
ORD0146,1/21/2024,1/25/2024,CUST135,Customer_227,Consumer,North,Technology,Computers,Laptop,223.69,5,0.21,-2.24
ORD0147,2/19/2024,2/26/2024,CUST190,Customer_71,Corporate,North,Furniture,Tables,Study Table,848.62,4,0.16,33.94
ORD0148,7/1/2024,7/5/2024,CUST130,Customer_198,Consumer,North,Office Supplies,Paper,A4 Paper Pack,250.34,4,0.12,20.03
ORD0149,12/12/2024,12/19/2024,CUST073,Customer_296,Consumer,East,Furniture,Chairs,Gaming Chair,731.73,5,0.13,51.22
ORD0150,4/6/2024,4/11/2024,CUST201,Customer_12,Corporate,North,Technology,Computers,Laptop,202.12,4,0.29,-18.19
ORD0151,8/26/2024,8/27/2024,CUST255,Customer_110,Corporate,West,Technology,Computers,Laptop,338.8,2,0.17,10.16
ORD0152,7/9/2024,7/13/2024,CUST210,Customer_175,Home Office,West,Furniture,Bookcases,Metal Bookcase,566.99,2,0.26,-34.02
ORD0153,8/23/2024,8/25/2024,CUST171,Customer_71,Home Office,North,Furniture,Bookcases,Wooden Bookcase,659.67,4,0.13,46.18
ORD0154,4/25/2024,4/30/2024,CUST039,Customer_149,Consumer,East,Technology,Accessories,Headphones,731.62,5,0.15,36.58
ORD0155,3/24/2024,3/31/2024,CUST055,Customer_246,Home Office,South,Furniture,Bookcases,Wooden Bookcase,682.3,2,0.05,102.35
ORD0156,2/18/2024,2/23/2024,CUST091,Customer_243,Home Office,West,Technology,Accessories,Headphones,412.07,4,0.3,-41.21
ORD0157,9/6/2024,9/11/2024,CUST057,Customer_242,Consumer,South,Technology,Phones,Samsung Galaxy,506.71,4,0.04,81.07
ORD0158,2/16/2024,2/20/2024,CUST282,Customer_9,Consumer,West,Office Supplies,Binders,Clip Binder,582.97,4,0.12,46.64
ORD0159,2/21/2024,2/24/2024,CUST153,Customer_203,Home Office,West,Furniture,Bookcases,Wooden Bookcase,353.03,2,0.22,-7.06
ORD0160,6/18/2024,6/20/2024,CUST267,Customer_158,Corporate,South,Furniture,Bookcases,Metal Bookcase,585.89,4,0.04,93.74
ORD0161,4/23/2024,4/24/2024,CUST236,Customer_76,Corporate,South,Office Supplies,Binders,Ring Binder,561.17,1,0.2,0
ORD0162,7/11/2024,7/18/2024,CUST153,Customer_233,Consumer,North,Office Supplies,Paper,A4 Paper Pack,300.52,2,0.1,30.05
ORD0163,3/31/2024,4/1/2024,CUST174,Customer_160,Corporate,North,Office Supplies,Paper,Notebook,879.55,2,0.27,-61.57
ORD0164,8/27/2024,8/30/2024,CUST087,Customer_23,Corporate,West,Office Supplies,Storage,Storage Box,638.51,1,0.13,44.7
ORD0165,3/9/2024,3/11/2024,CUST192,Customer_158,Home Office,South,Furniture,Bookcases,Wooden Bookcase,41.17,2,0.09,4.53
ORD0166,2/15/2024,2/19/2024,CUST182,Customer_222,Corporate,South,Technology,Accessories,Headphones,655.72,2,0.28,-52.46
ORD0167,5/9/2024,5/12/2024,CUST074,Customer_290,Consumer,South,Technology,Computers,Desktop,594.21,5,0.24,-23.77
ORD0168,1/9/2024,1/13/2024,CUST223,Customer_161,Home Office,North,Furniture,Bookcases,Metal Bookcase,669.56,1,0.03,113.83
ORD0169,7/20/2024,7/22/2024,CUST186,Customer_221,Home Office,East,Office Supplies,Storage,File Cabinet,675.78,4,0.02,121.64
ORD0170,1/31/2024,2/4/2024,CUST023,Customer_226,Home Office,South,Office Supplies,Storage,Storage Box,900.87,1,0.2,0
ORD0171,5/28/2024,6/3/2024,CUST004,Customer_123,Home Office,North,Office Supplies,Paper,Notebook,397.54,2,0.29,-35.78
ORD0172,7/18/2024,7/23/2024,CUST217,Customer_5,Consumer,West,Furniture,Bookcases,Wooden Bookcase,445.27,3,0.2,0
ORD0173,4/22/2024,4/25/2024,CUST289,Customer_174,Corporate,West,Furniture,Chairs,Gaming Chair,881.19,3,0.07,114.55
ORD0174,7/22/2024,7/25/2024,CUST028,Customer_105,Consumer,South,Furniture,Chairs,Office Chair,839.64,4,0.25,-41.98
ORD0175,3/2/2024,3/7/2024,CUST192,Customer_187,Home Office,South,Technology,Phones,Samsung Galaxy,615.67,1,0.21,-6.16
ORD0176,6/3/2024,6/6/2024,CUST179,Customer_207,Home Office,South,Technology,Computers,Laptop,370.01,3,0.29,-33.3
ORD0177,10/5/2024,10/9/2024,CUST016,Customer_78,Corporate,South,Office Supplies,Storage,File Cabinet,485.98,4,0.12,38.88
ORD0178,8/20/2024,8/22/2024,CUST232,Customer_127,Home Office,East,Office Supplies,Storage,Storage Box,772.47,1,0.24,-30.9
ORD0179,2/9/2024,2/16/2024,CUST157,Customer_179,Home Office,South,Office Supplies,Paper,A4 Paper Pack,42.27,5,0.29,-3.8
ORD0180,6/23/2024,6/26/2024,CUST228,Customer_14,Consumer,North,Furniture,Tables,Dining Table,390.98,1,0.06,54.74
ORD0181,11/17/2024,11/19/2024,CUST073,Customer_62,Home Office,East,Office Supplies,Storage,Storage Box,939.46,1,0.18,18.79
ORD0182,1/24/2024,1/28/2024,CUST136,Customer_38,Home Office,North,Office Supplies,Storage,Storage Box,88.54,2,0.05,13.28
ORD0183,10/15/2024,10/16/2024,CUST006,Customer_214,Corporate,South,Furniture,Tables,Study Table,94.46,1,0.14,5.67
ORD0184,11/10/2024,11/14/2024,CUST022,Customer_181,Corporate,West,Office Supplies,Binders,Ring Binder,299.74,1,0.17,8.99
ORD0185,11/7/2024,11/8/2024,CUST158,Customer_153,Home Office,North,Furniture,Chairs,Office Chair,298.11,1,0.13,20.87
ORD0186,7/28/2024,8/2/2024,CUST218,Customer_243,Corporate,South,Office Supplies,Paper,Notebook,119.17,3,0.21,-1.19
ORD0187,6/28/2024,7/3/2024,CUST236,Customer_205,Corporate,North,Office Supplies,Binders,Ring Binder,964.54,2,0.06,135.04
ORD0188,4/17/2024,4/24/2024,CUST150,Customer_249,Home Office,West,Furniture,Tables,Study Table,700.86,2,0.17,21.03
ORD0189,3/8/2024,3/14/2024,CUST105,Customer_55,Home Office,North,Technology,Phones,Samsung Galaxy,211.35,2,0.27,-14.79
ORD0190,5/25/2024,5/28/2024,CUST212,Customer_194,Home Office,South,Technology,Phones,iPhone,566.69,3,0,113.34
ORD0191,10/30/2024,11/4/2024,CUST157,Customer_63,Corporate,West,Technology,Accessories,Headphones,712.85,2,0.24,-28.51
ORD0192,1/27/2024,1/29/2024,CUST062,Customer_168,Consumer,East,Office Supplies,Paper,A4 Paper Pack,471.41,1,0.17,14.14
ORD0193,11/3/2024,11/10/2024,CUST154,Customer_260,Home Office,North,Technology,Accessories,Mouse,452.74,5,0.25,-22.64
ORD0194,10/13/2024,10/17/2024,CUST204,Customer_65,Consumer,South,Furniture,Tables,Study Table,102.6,3,0.17,3.08
ORD0195,11/22/2024,11/28/2024,CUST115,Customer_257,Corporate,East,Office Supplies,Paper,A4 Paper Pack,75.21,1,0.28,-6.02
ORD0196,3/13/2024,3/15/2024,CUST195,Customer_288,Home Office,East,Office Supplies,Binders,Clip Binder,104.46,2,0.28,-8.36
ORD0197,11/16/2024,11/18/2024,CUST276,Customer_225,Home Office,West,Office Supplies,Binders,Ring Binder,771.44,5,0.09,84.86
ORD0198,7/18/2024,7/19/2024,CUST053,Customer_57,Corporate,North,Furniture,Chairs,Gaming Chair,709.17,3,0.28,-56.73
ORD0199,9/21/2024,9/27/2024,CUST103,Customer_291,Consumer,North,Office Supplies,Binders,Clip Binder,948.11,1,0.25,-47.41
ORD0200,9/20/2024,9/22/2024,CUST061,Customer_209,Home Office,West,Furniture,Chairs,Gaming Chair,714.07,5,0.29,-64.27
