FlightKey,FlightID,DateKey,RouteKey,AircraftKey,DelayCodeKey,ScheduledDepartureDateTime,ActualDepartureDateTime,ScheduledArrivalDateTime,ActualArrivalDateTime,ScheduledBlockMinutes,ActualBlockMinutes,DepartureDelayMinutes,ArrivalDelayMinutes,ReactionaryDelayMinutes,ScheduledTurnaroundMinutes,ActualTurnaroundMinutes,SeatsAvailable,PassengersBoarded,CargoKG,FuelBurnPlannedKG,FuelBurnActualKG,FlightStatus,IsCancelled
100021,FA100021,20250101,18,6,1,2025-01-01 22:45:00,2025-01-01 22:45:00,2025-01-02 01:28:00,2025-01-02 01:31:00,163,166,0,3,0,45,45,180,165,312,6520.0,6965.4,Completed,False
100022,FA100022,20250101,18,5,1,2025-01-01 14:30:00,2025-01-01 14:37:00,2025-01-01 17:13:00,2025-01-01 17:25:00,163,168,7,12,0,45,45,180,144,602,6520.0,7086.4,Completed,False
100023,FA100023,20250101,19,12,1,2025-01-01 16:30:00,2025-01-01 16:30:00,2025-01-01 18:30:00,2025-01-01 18:30:00,120,120,0,0,0,45,45,189,156,476,5200.0,5159.7,Completed,False
100024,FA100024,20250101,19,8,4,2025-01-01 10:30:00,2025-01-01 11:00:00,2025-01-01 12:30:00,2025-01-01 13:09:00,120,129,30,39,0,45,68,189,164,790,5200.0,5835.4,Completed,False
100025,FA100025,20250101,20,17,1,2025-01-01 22:45:00,2025-01-01 22:46:00,2025-01-02 04:34:00,2025-01-02 04:31:00,349,345,1,0,0,90,90,296,260,1699,32573.3,35767.6,Completed,False
100026,FA100026,20250101,21,7,1,2025-01-01 12:00:00,2025-01-01 12:00:00,2025-01-01 14:55:00,2025-01-01 14:55:00,175,175,0,0,0,45,45,189,175,668,7583.3,7248.3,Completed,False
100027,FA100027,20250101,22,10,3,2025-01-01 09:30:00,2025-01-01 09:39:00,2025-01-01 11:40:00,2025-01-01 11:47:00,130,128,9,7,0,45,45,189,180,561,5633.3,6090.6,Completed,False
100028,FA100028,20250101,23,13,6,2025-01-01 09:00:00,2025-01-01 09:14:00,2025-01-01 12:18:00,2025-01-01 12:29:00,198,195,14,11,0,90,90,296,272,1428,18480.0,20222.7,Completed,False
100029,FA100029,20250101,24,11,1,2025-01-01 16:30:00,2025-01-01 16:30:00,2025-01-01 19:55:00,2025-01-01 20:01:00,205,211,0,6,0,45,45,189,168,537,8883.3,8740.0,Completed,False
100030,FA100030,20250101,25,14,1,2025-01-01 06:30:00,2025-01-01 06:30:00,2025-01-01 12:37:00,2025-01-01 12:43:00,367,373,0,6,0,90,90,296,261,1648,34253.3,34612.9,Completed,False
100031,FA100031,20250102,1,16,1,2025-01-02 14:00:00,2025-01-02 14:00:00,2025-01-02 20:44:00,2025-01-02 20:44:00,404,404,0,0,0,90,90,296,274,2029,37706.7,40291.5,Completed,False
100032,FA100032,20250102,3,1,1,2025-01-02 20:00:00,2025-01-02 20:00:00,2025-01-02 22:46:00,2025-01-02 22:51:00,166,171,0,5,0,45,45,180,165,895,6640.0,6603.1,Completed,False
100033,FA100033,20250102,4,10,1,2025-01-02 19:45:00,2025-01-02 19:45:00,2025-01-02 22:46:00,2025-01-02 22:50:00,181,185,0,4,0,45,45,189,182,627,7843.3,8119.6,Completed,False
100034,FA100034,20250102,4,12,1,2025-01-02 11:15:00,2025-01-02 11:17:00,2025-01-02 14:16:00,2025-01-02 14:16:00,181,179,2,0,0,45,45,189,167,671,7843.3,8377.0,Completed,False
100035,FA100035,20250102,5,7,1,2025-01-02 17:45:00,2025-01-02 17:46:00,2025-01-02 21:17:00,2025-01-02 21:23:00,212,217,1,6,0,45,45,189,173,594,9186.7,9251.0,Completed,False
100036,FA100036,20250102,6,16,1,2025-01-02 12:00:00,2025-01-02 12:00:00,2025-01-02 17:57:00,2025-01-02 18:02:00,357,362,0,5,0,90,90,296,288,1546,33320.0,31411.4,Completed,False
100037,FA100037,20250102,7,18,3,2025-01-02 10:15:00,2025-01-02 10:16:00,2025-01-02 19:16:00,2025-01-02 19:15:00,541,539,1,0,0,90,90,296,273,1807,50493.3,49299.1,Completed,False
100038,FA100038,20250102,8,7,1,2025-01-02 07:45:00,2025-01-02 07:48:00,2025-01-02 11:02:00,2025-01-02 11:06:00,197,198,3,4,0,45,45,189,159,420,8536.7,8306.3,Completed,False
100039,FA100039,20250102,8,8,7,2025-01-02 12:15:00,2025-01-02 12:52:00,2025-01-02 15:32:00,2025-01-02 16:06:00,197,194,37,34,0,45,45,189,159,1105,8536.7,8492.5,Completed,False
100040,FA100040,20250102,9,14,2,2025-01-02 22:30:00,2025-01-02 22:32:00,2025-01-03 05:00:00,2025-01-03 05:10:00,390,398,2,10,0,90,90,296,290,2206,36400.0,33828.1,Completed,False
100041,FA100041,20250102,11,17,9,2025-01-02 05:15:00,2025-01-02 06:12:00,2025-01-02 11:28:00,2025-01-02 12:23:00,373,371,57,55,57,90,44,296,285,1394,34813.3,36750.4,Completed,False
100042,FA100042,20250102,12,5,1,2025-01-02 17:45:00,2025-01-02 17:45:00,2025-01-02 20:30:00,2025-01-02 20:39:00,165,174,0,9,0,45,45,180,126,444,6600.0,6610.5,Completed,False
100043,FA100043,20250102,13,16,1,2025-01-02 09:15:00,2025-01-02 09:20:00,2025-01-02 16:09:00,2025-01-02 16:22:00,414,422,5,13,0,90,90,296,267,2163,38640.0,40366.7,Completed,False
100044,FA100044,20250102,14,18,1,2025-01-02 06:15:00,2025-01-02 06:20:00,2025-01-02 13:18:00,2025-01-02 13:19:00,423,419,5,1,0,90,90,296,274,1653,39480.0,35786.9,Completed,False
100045,FA100045,20250102,15,17,1,2025-01-02 08:15:00,2025-01-02 08:22:00,2025-01-02 11:59:00,2025-01-02 12:07:00,224,225,7,8,0,90,90,296,258,2161,20906.7,19628.1,Completed,False
100046,FA100046,20250102,15,18,2,2025-01-02 15:30:00,2025-01-02 16:31:00,2025-01-02 19:14:00,2025-01-02 20:24:00,224,233,61,70,0,90,131,296,251,1781,20906.7,20113.0,Completed,False
100047,FA100047,20250102,16,14,1,2025-01-02 09:15:00,2025-01-02 09:20:00,2025-01-02 15:28:00,2025-01-02 15:36:00,373,376,5,8,0,90,90,296,256,1554,34813.3,34683.4,Completed,False
100048,FA100048,20250102,17,14,1,2025-01-02 19:00:00,2025-01-02 19:00:00,2025-01-03 00:36:00,2025-01-03 00:45:00,336,345,0,9,0,90,90,296,284,1579,31360.0,30857.7,Completed,False
100049,FA100049,20250102,18,6,1,2025-01-02 18:15:00,2025-01-02 18:19:00,2025-01-02 20:58:00,2025-01-02 21:05:00,163,166,4,7,0,45,45,180,159,303,6520.0,6895.4,Completed,False
100050,FA100050,20250102,19,10,1,2025-01-02 17:15:00,2025-01-02 17:15:00,2025-01-02 19:15:00,2025-01-02 19:17:00,120,122,0,2,0,45,45,189,167,131,5200.0,4942.3,Completed,False
100051,FA100051,20250102,20,13,1,2025-01-02 08:15:00,2025-01-02 08:17:00,2025-01-02 14:04:00,2025-01-02 14:14:00,349,357,2,10,0,90,90,296,271,2217,32573.3,36456.9,Completed,False
100052,FA100052,20250102,21,11,1,2025-01-02 10:45:00,2025-01-02 10:45:00,2025-01-02 13:40:00,2025-01-02 13:46:00,175,181,0,6,0,45,45,189,159,956,7583.3,7219.8,Completed,False
100053,FA100053,20250102,22,7,2,2025-01-02 07:30:00,2025-01-02 07:44:00,2025-01-02 09:40:00,2025-01-02 09:59:00,130,135,14,19,0,45,45,189,156,577,5633.3,6223.5,Completed,False
100054,FA100054,20250102,22,12,1,2025-01-02 06:30:00,2025-01-02 06:36:00,2025-01-02 08:40:00,2025-01-02 08:44:00,130,128,6,4,0,45,45,189,158,111,5633.3,5209.5,Completed,False
100055,FA100055,20250102,23,18,4,2025-01-02 09:15:00,2025-01-02 09:36:00,2025-01-02 12:33:00,2025-01-02 12:57:00,198,201,21,24,0,90,90,296,252,1868,18480.0,17463.4,Completed,False
100056,FA100056,20250102,23,14,1,2025-01-02 05:30:00,2025-01-02 05:34:00,2025-01-02 08:48:00,2025-01-02 08:53:00,198,199,4,5,0,90,90,296,255,1935,18480.0,18904.6,Completed,False
100057,FA100057,20250102,24,9,6,2025-01-02 13:15:00,2025-01-02 13:46:00,2025-01-02 16:40:00,2025-01-02 17:09:00,205,203,31,29,0,45,45,189,170,504,8883.3,8875.1,Completed,False
100058,FA100058,20250102,24,11,1,2025-01-02 18:15:00,2025-01-02 18:20:00,2025-01-02 21:40:00,2025-01-02 21:40:00,205,200,5,0,0,45,45,189,146,38,8883.3,8568.8,Completed,False
100059,FA100059,20250102,25,13,1,2025-01-02 21:00:00,2025-01-02 21:00:00,2025-01-03 03:07:00,2025-01-03 03:08:00,367,368,0,1,0,90,90,296,272,2143,34253.3,32234.8,Completed,False
100060,FA100060,20250103,1,17,1,2025-01-03 05:45:00,2025-01-03 05:50:00,2025-01-03 12:29:00,2025-01-03 12:38:00,404,408,5,9,0,90,90,296,290,1943,37706.7,37371.7,Completed,False
100061,FA100061,20250103,2,18,1,2025-01-03 17:30:00,2025-01-03 17:33:00,2025-01-04 06:52:00,2025-01-04 07:03:00,802,810,3,11,0,90,90,296,257,1634,74853.3,74376.5,Completed,False
100062,FA100062,20250103,3,3,1,2025-01-03 08:45:00,2025-01-03 08:51:00,2025-01-03 11:31:00,2025-01-03 11:44:00,166,173,6,13,0,45,45,180,154,796,6640.0,7236.3,Completed,False
100063,FA100063,20250103,3,4,1,2025-01-03 17:45:00,2025-01-03 17:46:00,2025-01-03 20:31:00,2025-01-03 20:37:00,166,171,1,6,0,45,45,180,170,801,6640.0,7139.7,Completed,False
100064,FA100064,20250103,4,9,1,2025-01-03 18:45:00,2025-01-03 18:45:00,2025-01-03 21:46:00,2025-01-03 21:43:00,181,178,0,0,0,45,45,189,185,423,7843.3,8166.5,Completed,False
100065,FA100065,20250103,5,11,1,2025-01-03 13:30:00,2025-01-03 13:31:00,2025-01-03 17:02:00,2025-01-03 16:58:00,212,207,1,0,0,45,45,189,179,588,9186.7,9710.5,Completed,False
100066,FA100066,20250103,5,9,4,2025-01-03 16:30:00,2025-01-03 16:49:00,2025-01-03 20:02:00,2025-01-03 20:26:00,212,217,19,24,0,45,45,189,185,604,9186.7,9529.1,Completed,False
100067,FA100067,20250103,6,16,1,2025-01-03 12:00:00,2025-01-03 12:00:00,2025-01-03 17:57:00,2025-01-03 17:53:00,357,353,0,0,0,90,90,296,290,2570,33320.0,34078.1,Completed,False
100068,FA100068,20250103,7,18,1,2025-01-03 19:15:00,2025-01-03 19:15:00,2025-01-04 04:16:00,2025-01-04 04:15:00,541,540,0,0,0,90,90,296,275,1585,50493.3,50496.8,Completed,False
100069,FA100069,20250103,8,8,1,2025-01-03 14:30:00,2025-01-03 14:30:00,2025-01-03 17:47:00,2025-01-03 17:52:00,197,202,0,5,0,45,45,189,176,113,8536.7,9101.9,Completed,False
100070,FA100070,20250103,8,9,1,2025-01-03 12:15:00,2025-01-03 12:18:00,2025-01-03 15:32:00,2025-01-03 15:40:00,197,202,3,8,0,45,45,189,180,487,8536.7,8562.1,Completed,False
100071,FA100071,20250103,9,18,1,2025-01-03 15:45:00,2025-01-03 15:45:00,2025-01-03 22:15:00,2025-01-03 22:23:00,390,398,0,8,0,90,90,296,290,2006,36400.0,35642.9,Completed,False
100072,FA100072,20250103,10,15,1,2025-01-03 08:00:00,2025-01-03 08:03:00,2025-01-03 20:36:00,2025-01-03 20:34:00,756,751,3,0,0,90,90,296,259,1598,70560.0,75799.8,Completed,False
100073,FA100073,20250103,11,17,1,2025-01-03 16:30:00,2025-01-03 16:30:00,2025-01-03 22:43:00,2025-01-03 22:46:00,373,376,0,3,0,90,90,296,290,1780,34813.3,35916.3,Completed,False
100074,FA100074,20250103,12,2,7,2025-01-03 17:00:00,2025-01-03 17:10:00,2025-01-03 19:45:00,2025-01-03 19:54:00,165,164,10,9,0,45,45,180,176,306,6600.0,6763.6,Completed,False
100075,FA100075,20250103,12,6,1,2025-01-03 06:00:00,2025-01-03 06:09:00,2025-01-03 08:45:00,2025-01-03 08:52:00,165,163,9,7,0,45,45,180,172,1099,6600.0,7023.3,Completed,False
100076,FA100076,20250103,13,17,1,2025-01-03 21:15:00,2025-01-03 21:21:00,2025-01-04 04:09:00,2025-01-04 04:10:00,414,409,6,1,0,90,90,296,290,1859,38640.0,38547.2,Completed,False
100077,FA100077,20250103,14,14,1,2025-01-03 15:45:00,2025-01-03 15:47:00,2025-01-03 22:48:00,2025-01-03 22:51:00,423,424,2,3,0,90,90,296,290,1828,39480.0,39471.0,Completed,False
100078,FA100078,20250103,15,16,3,2025-01-03 07:45:00,2025-01-03 08:02:00,2025-01-03 11:29:00,2025-01-03 11:41:00,224,219,17,12,0,90,90,296,264,1699,20906.7,21408.3,Completed,False
100079,FA100079,20250103,16,15,1,2025-01-03 12:15:00,2025-01-03 12:20:00,2025-01-03 18:28:00,2025-01-03 18:27:00,373,367,5,0,0,90,90,296,290,1853,34813.3,36415.9,Completed,False
100080,FA100080,20250103,17,17,1,2025-01-03 21:30:00,2025-01-03 21:30:00,2025-01-04 03:06:00,2025-01-04 03:01:00,336,331,0,0,0,90,90,296,290,1862,31360.0,32504.0,Completed,False
100081,FA100081,20250103,18,2,6,2025-01-03 11:15:00,2025-01-03 11:43:00,2025-01-03 13:58:00,2025-01-03 14:26:00,163,163,28,28,0,45,45,180,176,1004,6520.0,5733.5,Completed,False
100082,FA100082,20250103,18,3,1,2025-01-03 16:45:00,2025-01-03 16:52:00,2025-01-03 19:28:00,2025-01-03 19:38:00,163,166,7,10,0,45,45,180,176,468,6520.0,6556.9,Completed,False
100083,FA100083,20250103,19,7,1,2025-01-03 17:15:00,2025-01-03 17:21:00,2025-01-03 19:15:00,2025-01-03 19:16:00,120,115,6,1,0,45,45,189,179,444,5200.0,5555.0,Completed,False
100084,FA100084,20250103,19,11,1,2025-01-03 16:00:00,2025-01-03 16:07:00,2025-01-03 18:00:00,2025-01-03 18:14:00,120,127,7,14,0,45,45,189,164,443,5200.0,5688.7,Completed,False
100085,FA100085,20250103,20,15,1,2025-01-03 17:15:00,2025-01-03 17:18:00,2025-01-03 23:04:00,2025-01-03 23:05:00,349,347,3,1,0,90,90,296,264,1478,32573.3,31095.5,Completed,False
100086,FA100086,20250103,21,9,1,2025-01-03 10:30:00,2025-01-03 10:34:00,2025-01-03 13:25:00,2025-01-03 13:35:00,175,181,4,10,0,45,45,189,185,616,7583.3,7660.3,Completed,False
100087,FA100087,20250103,21,10,8,2025-01-03 17:15:00,2025-01-03 17:56:00,2025-01-03 20:10:00,2025-01-03 20:51:00,175,175,41,41,0,45,45,189,175,838,7583.3,7252.1,Completed,False
100088,FA100088,20250103,22,12,1,2025-01-03 17:45:00,2025-01-03 17:51:00,2025-01-03 19:55:00,2025-01-03 20:02:00,130,131,6,7,0,45,45,189,185,925,5633.3,5870.9,Completed,False
100089,FA100089,20250103,22,11,1,2025-01-03 15:30:00,2025-01-03 15:31:00,2025-01-03 17:40:00,2025-01-03 17:36:00,130,125,1,0,0,45,45,189,185,0,5633.3,5419.0,Completed,False
100090,FA100090,20250103,23,14,1,2025-01-03 12:30:00,2025-01-03 12:30:00,2025-01-03 15:48:00,2025-01-03 15:57:00,198,207,0,9,0,90,90,296,290,1952,18480.0,19515.3,Completed,False
100091,FA100091,20250103,23,13,1,2025-01-03 14:45:00,2025-01-03 14:45:00,2025-01-03 18:03:00,2025-01-03 18:07:00,198,202,0,4,0,90,90,296,290,1868,18480.0,18669.6,Completed,False
100092,FA100092,20250103,24,11,4,2025-01-03 16:30:00,2025-01-03 16:48:00,2025-01-03 19:55:00,2025-01-03 20:21:00,205,213,18,26,0,45,45,189,179,398,8883.3,8842.9,Completed,False
100093,FA100093,20250103,24,8,1,2025-01-03 13:45:00,2025-01-03 13:45:00,2025-01-03 17:10:00,2025-01-03 17:08:00,205,203,0,0,0,45,45,189,180,544,8883.3,9198.0,Completed,False
100094,FA100094,20250103,25,18,1,2025-01-03 21:15:00,2025-01-03 21:15:00,2025-01-04 03:22:00,2025-01-04 03:26:00,367,371,0,4,0,90,90,296,290,1780,34253.3,37448.4,Completed,False
100095,FA100095,20250104,1,14,1,2025-01-04 06:15:00,2025-01-04 06:17:00,2025-01-04 12:59:00,2025-01-04 13:07:00,404,410,2,8,0,90,90,296,290,1733,37706.7,40743.1,Completed,False
100096,FA100096,20250104,3,6,1,2025-01-04 09:30:00,2025-01-04 09:30:00,2025-01-04 12:16:00,2025-01-04 12:11:00,166,161,0,0,0,45,45,180,161,531,6640.0,6764.2,Completed,False
100097,FA100097,20250104,3,4,1,2025-01-04 22:30:00,2025-01-04 22:30:00,2025-01-05 01:16:00,2025-01-05 01:18:00,166,168,0,2,0,45,45,180,176,737,6640.0,6979.5,Completed,False
100098,FA100098,20250104,4,11,1,2025-01-04 07:45:00,2025-01-04 07:49:00,2025-01-04 10:46:00,2025-01-04 10:44:00,181,175,4,0,0,45,45,189,178,126,7843.3,8104.3,Completed,False
100099,FA100099,20250104,5,12,1,2025-01-04 06:45:00,2025-01-04 06:54:00,2025-01-04 10:17:00,2025-01-04 10:21:00,212,207,9,4,0,45,45,189,163,835,9186.7,9673.8,Completed,False
100100,FA100100,20250104,6,15,5,2025-01-04 13:00:00,2025-01-04 13:27:00,2025-01-04 18:57:00,2025-01-04 19:21:00,357,354,27,24,0,90,90,296,290,1565,33320.0,33923.9,Completed,False
100101,FA100101,20250104,7,18,1,2025-01-04 05:00:00,2025-01-04 05:00:00,2025-01-04 14:01:00,2025-01-04 13:56:00,541,536,0,0,0,90,94,296,290,1839,50493.3,52139.1,Completed,False
100102,FA100102,20250104,8,7,3,2025-01-04 10:00:00,2025-01-04 10:19:00,2025-01-04 13:17:00,2025-01-04 13:41:00,197,202,19,24,0,45,45,189,185,995,8536.7,8436.3,Completed,False
100103,FA100103,20250104,8,8,1,2025-01-04 07:30:00,2025-01-04 07:32:00,2025-01-04 10:47:00,2025-01-04 10:48:00,197,196,2,1,0,45,45,189,180,1249,8536.7,8537.4,Completed,False
100104,FA100104,20250104,9,15,1,2025-01-04 18:45:00,2025-01-04 18:46:00,2025-01-05 01:15:00,2025-01-05 01:25:00,390,399,1,10,0,90,90,296,290,1811,36400.0,37740.1,Completed,False
100105,FA100105,20250104,10,15,1,2025-01-04 19:00:00,2025-01-04 19:02:00,2025-01-05 07:36:00,2025-01-05 07:36:00,756,754,2,0,0,90,90,296,267,2400,70560.0,66108.3,Completed,False
100106,FA100106,20250104,11,16,1,2025-01-04 06:30:00,2025-01-04 06:30:00,2025-01-04 12:43:00,2025-01-04 12:39:00,373,369,0,0,0,90,90,296,274,2173,34813.3,32639.6,Completed,False
100107,FA100107,20250104,12,4,5,2025-01-04 20:15:00,2025-01-04 20:33:00,2025-01-04 23:00:00,2025-01-04 23:24:00,165,171,18,24,0,45,45,180,167,345,6600.0,6633.0,Completed,False
100108,FA100108,20250104,12,6,1,2025-01-04 11:00:00,2025-01-04 11:03:00,2025-01-04 13:45:00,2025-01-04 13:50:00,165,167,3,5,0,45,45,180,176,932,6600.0,6287.9,Completed,False
100109,FA100109,20250104,13,17,8,2025-01-04 19:30:00,2025-01-04 19:47:00,2025-01-05 02:24:00,2025-01-05 02:43:00,414,416,17,19,0,90,90,296,284,1382,38640.0,40473.3,Completed,False
100110,FA100110,20250104,14,18,10,2025-01-04 15:00:00,2025-01-04 15:39:00,2025-01-04 22:03:00,2025-01-04 22:47:00,423,428,39,44,39,90,64,296,290,1645,39480.0,42222.7,Completed,False
100111,FA100111,20250104,16,17,7,2025-01-04 05:30:00,2025-01-04 06:01:00,2025-01-04 11:43:00,2025-01-04 12:17:00,373,376,31,34,0,90,90,296,290,1736,34813.3,38767.6,Completed,False
100112,FA100112,20250104,17,13,1,2025-01-04 22:00:00,2025-01-04 22:05:00,2025-01-05 03:36:00,2025-01-05 03:36:00,336,331,5,0,0,90,90,296,277,1819,31360.0,31974.4,Completed,False
100113,FA100113,20250104,18,5,1,2025-01-04 10:00:00,2025-01-04 10:02:00,2025-01-04 12:43:00,2025-01-04 12:45:00,163,163,2,2,0,45,45,180,159,1201,6520.0,6607.7,Completed,False
100114,FA100114,20250104,19,7,1,2025-01-04 16:30:00,2025-01-04 16:36:00,2025-01-04 18:30:00,2025-01-04 18:32:00,120,116,6,2,0,45,45,189,183,44,5200.0,5535.5,Completed,False
100115,FA100115,20250104,19,8,2,2025-01-04 22:45:00,2025-01-04 23:13:00,2025-01-05 00:45:00,2025-01-05 01:17:00,120,124,28,32,0,45,45,189,173,319,5200.0,4840.0,Completed,False
100116,FA100116,20250104,20,18,1,2025-01-04 06:15:00,2025-01-04 06:20:00,2025-01-04 12:04:00,2025-01-04 12:03:00,349,343,5,0,0,90,90,296,290,1471,32573.3,33087.3,Completed,False
100117,FA100117,20250104,21,10,1,2025-01-04 05:00:00,2025-01-04 05:00:00,2025-01-04 07:55:00,2025-01-04 07:59:00,175,179,0,4,0,45,45,189,178,1060,7583.3,8110.2,Completed,False
100118,FA100118,20250104,21,12,1,2025-01-04 13:30:00,2025-01-04 13:30:00,2025-01-04 16:25:00,2025-01-04 16:22:00,175,172,0,0,0,45,45,189,185,524,7583.3,7915.3,Completed,False
100119,FA100119,20250104,22,11,5,2025-01-04 17:15:00,2025-01-04 17:42:00,2025-01-04 19:25:00,2025-01-04 19:56:00,130,134,27,31,0,45,45,189,169,893,5633.3,6409.5,Completed,False
100120,FA100120,20250104,23,14,1,2025-01-04 21:00:00,2025-01-04 21:01:00,2025-01-05 00:18:00,2025-01-05 00:27:00,198,206,1,9,0,90,90,296,271,2084,18480.0,19231.7,Completed,False
100121,FA100121,20250104,23,17,1,2025-01-04 14:45:00,2025-01-04 14:45:00,2025-01-04 18:03:00,2025-01-04 18:04:00,198,199,0,1,0,90,148,296,290,2475,18480.0,18985.9,Completed,False
100122,FA100122,20250104,24,8,1,2025-01-04 14:45:00,2025-01-04 14:45:00,2025-01-04 18:10:00,2025-01-04 18:07:00,205,202,0,0,0,45,45,189,175,397,8883.3,9570.8,Completed,False
100123,FA100123,20250104,24,10,1,2025-01-04 14:00:00,2025-01-04 14:03:00,2025-01-04 17:25:00,2025-01-04 17:33:00,205,210,3,8,0,45,45,189,173,561,8883.3,8934.3,Completed,False
100124,FA100124,20250104,25,15,1,2025-01-04 11:45:00,2025-01-04 11:49:00,2025-01-04 17:52:00,2025-01-04 17:58:00,367,369,4,6,0,90,90,296,281,2303,34253.3,37574.4,Completed,False
100125,FA100125,20250105,1,16,1,2025-01-05 18:30:00,2025-01-05 18:30:00,2025-01-06 01:14:00,2025-01-06 01:20:00,404,410,0,6,0,90,90,296,267,1495,37706.7,37175.6,Completed,False
100126,FA100126,20250105,2,13,1,2025-01-05 11:45:00,2025-01-05 11:48:00,2025-01-06 01:07:00,2025-01-06 01:15:00,802,807,3,8,0,90,90,296,266,1938,74853.3,76382.4,Completed,False
