RouteFinKey,DateKey,RouteKey,AircraftKey,FlightCount,ASK,RPK,PassengerRevenueUSD,AncillaryRevenueUSD,CargoRevenueUSD,TotalRevenueUSD,FuelCostUSD,CrewCostUSD,MaintenanceCostUSD,AirportChargesUSD,OtherOperatingCostUSD,TotalOperatingCostUSD
16,20250401,2,13,19,65744560,48174490,4150596.08,435329.25,16519.1,4602444.43,1253990.47,684738.27,418344.12,87389.85,1226964.11,3671426.83
17,20250501,2,13,23,79585520,56380870,4694327.18,629166.76,18539.37,5342033.31,1406378.08,800840.19,501855.55,102624.67,1237809.21,4049507.7
18,20250601,2,13,22,76125280,59209850,4859026.45,316845.57,19605.99,5195478.01,1417938.83,740388.99,475938.85,83288.22,1702590.56,4420145.44
19,20250701,2,13,23,79585520,70046480,5544053.35,396613.75,20445.55,5961112.65,1571156.72,802255.65,564944.58,94456.97,1520690.36,4553504.28
20,20250801,2,13,21,72665040,61407570,4749995.51,527883.15,14532.26,5292410.93,1394788.24,714087.27,541491.44,88965.17,1433271.59,4172603.7
21,20250901,2,13,24,83045760,53259640,4509574.16,532970.82,18657.71,5061202.68,1444929.22,756714.06,521610.3,106044.11,1757289.68,4586587.38
22,20251001,2,13,23,79585520,55270320,4664753.02,457625.87,22727.64,5145106.53,1631666.51,777493.13,587994.84,90779.29,1512682.7,4600616.46
23,20251101,2,13,22,76125280,57023820,4902545.8,427768.45,20401.13,5350715.38,1550066.04,708913.07,524494.42,87424.49,1645968.6,4516866.64
24,20251201,2,13,24,83045760,74126290,5707962.38,537062.4,16395.27,6261420.05,1622899.77,837367.78,596471.45,94048.91,1600750.17,4751538.09
25,20250101,3,1,44,15444000,13819650,1259753.01,150674.58,11541.37,1421968.96,278653.91,156012.4,190538.09,122417.62,437721.74,1185343.77
26,20250201,3,1,36,12636000,8747700,796396.31,79912.67,10564.95,886873.93,222526.73,119703.51,157960.33,88513.15,364069.58,952773.29
27,20250301,3,1,47,16497000,11778000,1046697.38,69950.57,12769.79,1129417.74,273630.0,146702.29,179856.97,115163.78,418121.03,1133474.06
28,20250401,3,1,40,14040000,10754250,874164.16,97059.54,9655.43,980879.12,228745.32,134623.05,171512.24,106546.95,410685.46,1052113.02
29,20250501,3,1,43,15093000,11534250,1050284.24,97611.53,10118.31,1158014.07,264408.26,154486.07,173300.65,103585.89,448101.76,1143882.62
30,20250601,3,1,43,15093000,11932050,1109216.79,102297.58,14758.6,1226272.97,267282.75,138366.16,155611.0,112015.83,330235.77,1003511.51
31,20250701,3,1,47,16497000,14921400,1340805.5,132254.15,13315.08,1486374.73,275201.98,154291.19,174313.48,127812.12,429601.41,1161220.19
32,20250801,3,1,44,15444000,13378950,1252886.44,125894.06,10101.9,1388882.4,238306.45,141327.08,188987.3,117300.02,379497.99,1065418.83
33,20250901,3,1,40,14040000,9198150,825715.8,66475.57,13024.08,905215.45,232126.42,144103.94,148319.57,96157.01,412007.76,1032714.7
34,20251001,3,1,50,17550000,12901200,1124779.27,122323.13,14767.14,1261869.53,296357.57,161972.79,189564.48,119477.23,383834.35,1151206.41
35,20251101,3,1,48,16848000,12959700,1039450.49,110519.04,14711.99,1164681.52,288543.76,172320.7,202861.91,122162.38,415436.87,1201325.62
36,20251201,3,1,41,14391000,12990900,1137429.25,73740.06,11002.86,1222172.18,246267.16,131746.87,177744.63,103648.49,354362.49,1013769.65
37,20250101,4,7,51,21109410,18658800,1481202.32,206585.26,13669.7,1701457.28,384830.86,203540.82,249541.61,135313.8,543241.17,1516468.27
38,20250201,4,7,37,15314670,10201020,848763.24,73960.25,10925.25,933648.74,273402.49,155766.28,160167.44,104040.45,369339.18,1062715.83
39,20250301,4,7,39,16142490,11703360,886228.62,73403.57,8924.08,968556.28,259838.96,161528.24,174260.09,95627.79,389773.7,1081028.78
40,20250401,4,7,43,17798130,13288920,1055816.53,121403.92,8935.3,1186155.75,317144.91,169380.96,182929.82,119683.93,374426.91,1163566.52
41,20250501,4,7,41,16970310,12594690,1048951.74,92543.36,9179.84,1150674.95,300343.78,159215.29,174808.73,114188.82,476963.94,1225520.56
42,20250601,4,7,48,19867680,15833700,1294594.78,135168.03,14358.35,1444121.16,327685.11,173349.15,240328.19,125985.53,509046.99,1376394.97
43,20250701,4,7,48,19867680,17749950,1361499.76,87351.4,13855.87,1462707.02,355709.72,180810.18,204323.53,117405.77,492313.73,1350562.94
44,20250801,4,7,41,16970310,15049680,1191652.11,142498.51,13290.24,1347440.86,283894.13,166876.07,200230.26,108669.24,487166.58,1246836.28
45,20250901,4,7,39,16142490,10568940,977175.98,136309.59,10462.84,1123948.41,252897.97,162188.12,161172.47,106955.11,384794.59,1068008.26
46,20251001,4,7,45,18625950,13869270,1071618.32,103269.48,14989.37,1189877.16,295022.92,173656.19,205735.14,120320.34,399932.73,1194667.31
47,20251101,4,7,46,19039860,14786880,1264769.91,137791.21,12888.14,1415449.25,337910.47,186389.68,206486.71,128201.15,481520.54,1340508.54
48,20251201,4,7,43,17798130,16179720,1197223.2,91571.76,8649.54,1297444.5,317783.29,153385.03,215112.02,113828.34,369636.94,1169745.62
49,20250101,5,7,43,21292740,19220320,1641119.12,146785.44,10142.5,1798047.06,377501.39,201683.9,231637.25,120543.74,445421.81,1376788.09
50,20250201,5,7,37,18321660,12586480,1072122.23,140226.35,12814.24,1225162.82,270535.96,180399.3,188179.42,97442.84,471644.05,1208201.58
51,20250301,5,7,46,22778280,16773240,1559956.57,163225.01,15739.05,1738920.62,375679.88,203541.17,228931.96,123199.48,556666.44,1488018.92
52,20250401,5,7,41,20302380,15447520,1364041.12,120951.8,13778.61,1498771.53,360496.19,197904.78,230615.3,110203.68,531333.38,1430553.33
53,20250501,5,7,46,22778280,16980220,1401704.21,171581.43,11209.54,1584495.17,333910.34,207686.51,244905.12,114065.66,468943.95,1369511.58
54,20250601,5,7,42,20797560,16482420,1365297.92,109334.76,9729.39,1484362.06,344302.7,204897.6,237301.42,115530.05,420028.67,1322060.44
55,20250701,5,7,48,23768640,21140780,1871575.42,188307.91,13979.99,2073863.33,402825.14,225667.38,288711.53,113536.47,493760.59,1524501.1
56,20250801,5,7,44,21787920,18824700,1665807.42,136642.67,11450.0,1813900.09,376413.24,226172.2,262935.6,124763.98,603923.2,1594208.22
57,20250901,5,7,43,21292740,14281620,1346786.9,83306.94,10400.66,1440494.5,372761.21,196893.49,223905.51,104903.02,471274.34,1369737.56
58,20251001,5,7,38,18816840,14043200,1209439.38,141225.31,12515.34,1363180.03,294206.71,184614.16,215645.08,99117.33,440766.29,1234349.57
59,20251101,5,7,38,18816840,14438820,1307194.33,111931.8,9586.28,1428712.41,293390.84,181189.9,225887.11,95648.81,488352.16,1284468.82
60,20251201,5,7,44,21787920,20027280,1891022.45,237984.7,15503.46,2144510.61,372689.06,190251.03,211722.95,119337.0,577234.16,1471234.19
61,20250101,6,13,31,45880000,42825000,3750308.54,402342.2,28042.96,4180693.71,938272.36,470924.05,313966.65,121893.97,763312.21,2608369.24
62,20250201,6,13,25,37000000,26800000,2157187.39,257729.8,18213.94,2433131.14,762741.42,376626.67,263523.22,114895.08,761722.55,2279508.95
63,20250301,6,13,31,45880000,34815000,3416481.12,324861.26,25612.52,3766954.91,846471.15,471820.15,329428.48,127869.84,983918.73,2759508.34
64,20250401,6,13,29,42920000,34035000,2928984.09,349822.69,27216.16,3306022.94,756522.85,385402.01,323378.66,115941.89,804726.21,2385971.61
65,20250501,6,13,30,44400000,34870000,2863480.01,398107.64,25791.22,3287378.87,888764.58,428434.18,283465.17,130743.92,686780.96,2418188.81
66,20250601,6,13,28,41440000,34735000,2767918.67,182648.15,20953.76,2971520.57,846060.18,383994.0,253452.39,120559.78,725197.42,2329263.77
67,20250701,6,13,31,45880000,42810000,3431712.55,480016.91,30081.57,3941811.03,911902.7,424373.58,284393.05,117218.44,965788.72,2703676.49
68,20250801,6,13,31,45880000,42340000,3194191.57,337254.58,21921.88,3553368.03,887191.07,398648.86,313255.75,120883.68,844197.02,2564176.37
69,20250901,6,13,30,44400000,31160000,2659705.19,324539.27,22825.81,3007070.27,834213.75,439598.13,310279.83,123991.21,694962.05,2403044.98
70,20251001,6,13,30,44400000,34260000,2508643.91,183060.71,27354.88,2719059.5,860288.68,379689.95,342639.33,125149.38,878381.26,2586148.61
71,20251101,6,13,30,44400000,36420000,2975808.37,270199.54,28531.18,3274539.09,850930.23,417857.54,301831.86,124338.01,880013.17,2574970.8
72,20251201,6,13,30,44400000,42350000,3525916.99,388806.13,19630.46,3934353.58,809014.97,388596.28,287107.08,117885.22,832287.02,2434890.57
73,20250101,7,13,31,71297520,66301410,6115308.54,748352.73,23216.47,6886877.75,1463850.34,688886.16,539130.25,129298.08,1266830.49,4087995.32
74,20250201,7,13,28,64397760,46868640,3827013.59,393475.82,21511.0,4242000.41,1203365.46,563645.4,442945.96,120871.54,1354244.2,3685072.55
75,20250301,7,13,30,68997600,52960320,4597228.48,417853.31,26448.02,5041529.8,1359831.78,704001.26,479973.41,127133.98,1234067.72,3905008.13
76,20250401,7,13,29,66697680,52113390,4602560.54,628541.3,19546.05,5250647.89,1342101.39,636550.31,435658.07,114445.77,1301835.59,3830591.14
77,20250501,7,13,31,71297520,56371350,4394067.67,344560.54,28310.67,4766938.88,1249503.68,715115.7,509745.09,126235.32,1383276.3,3983876.09
78,20250601,7,13,30,68997600,57420300,5197660.07,680164.51,28718.56,5906543.14,1446545.44,657358.01,488054.68,118002.46,1512309.61,4222270.19
79,20250701,7,13,31,71297520,67086180,5861643.37,449679.4,24042.45,6335365.22,1425720.87,666875.43,545021.29,133849.17,1382360.73,4153827.49
80,20250801,7,13,29,66697680,60978960,5100142.73,483342.23,22479.96,5605964.92,1385443.81,623284.46,470952.18,121612.23,1309698.26,3910990.94
81,20250901,7,13,30,68997600,48321630,3864394.89,243529.35,27833.4,4135757.64,1344092.2,628997.82,462979.24,125392.43,1264134.35,3825596.03
82,20251001,7,13,31,71297520,55073760,4609975.57,433342.89,27089.64,5070408.1,1466899.99,660696.5,455264.0,117980.31,1321187.49,4022028.3
83,20251101,7,13,29,66697680,54343380,4570076.48,306372.25,20343.48,4896792.21,1268756.65,657115.9,456198.48,127134.42,1391426.85,3900632.31
84,20251201,7,13,31,71297520,67715550,5692362.41,642510.61,19443.31,6354316.33,1393374.61,648638.74,537863.93,140734.5,1306851.38,4027463.16
85,20250101,8,7,43,19586070,17214630,1507393.08,148995.79,13778.76,1670167.63,303411.8,189959.46,219590.6,119502.18,413216.43,1245680.47
86,20250201,8,7,39,17764110,12001800,986922.61,137649.25,11887.51,1136459.37,298968.54,158328.6,188120.18,107186.27,400080.93,1152684.52
87,20250301,8,7,45,20497050,14905850,1251468.86,169713.17,14243.87,1435425.9,315507.09,211047.08,207705.25,118004.66,517822.28,1370086.36
88,20250401,8,7,41,18675090,14158750,1044473.27,67810.44,11406.57,1123690.28,284962.18,168445.16,218932.47,103057.29,479069.16,1254466.27
89,20250501,8,7,42,19130580,14390110,1114173.65,118855.4,14486.46,1247515.51,324752.86,177600.4,224931.56,112321.9,457253.72,1296860.43
90,20250601,8,7,39,17764110,13840630,1205997.26,74235.52,13063.92,1293296.7,304009.74,167735.82,187331.54,107537.37,376151.32,1142765.79
91,20250701,8,7,38,17308620,15626440,1140788.37,136010.34,6951.85,1283750.57,308894.28,179305.86,197921.72,103695.63,400144.84,1189962.33
92,20250801,8,7,48,21863520,19229390,1520453.32,160228.79,13416.19,1694098.29,364333.64,207434.03,221455.99,128693.35,584807.49,1506724.51
93,20250901,8,7,44,20041560,13681570,1153459.83,121706.2,14155.84,1289321.87,338905.49,199843.2,240327.29,109186.92,478571.19,1366834.09
94,20251001,8,7,46,20952540,15484250,1249671.55,75690.77,9481.13,1334843.45,318062.65,195367.67,220700.75,122435.66,454340.59,1310907.33
95,20251101,8,7,40,18219600,14144290,1205665.91,112931.74,10266.33,1328863.98,325549.64,172206.84,173654.53,106433.26,447227.94,1225072.21
96,20251201,8,7,44,20041560,18463010,1372143.96,162059.08,10468.99,1544672.02,360805.37,175000.03,195483.48,124068.24,474056.63,1329413.76
97,20250101,9,13,29,47212000,44143000,3407248.22,302283.24,24849.18,3734380.64,848703.72,466389.65,338782.26,123750.81,849586.75,2627213.19
98,20250201,9,13,28,45584000,32307000,2633485.55,237986.34,27106.97,2898578.86,825640.65,455626.23,291821.83,123989.5,857644.85,2554723.06
99,20250301,9,13,30,48840000,37152500,2786198.47,275114.72,24818.94,3086132.13,968941.28,476927.22,374161.06,129063.41,953749.13,2902842.09
100,20250401,9,13,29,47212000,37400000,2893775.44,260627.19,20443.23,3174845.85,937369.5,404865.07,333047.11,117741.36,985984.77,2779007.82
101,20250501,9,13,28,45584000,35128500,2943214.07,281679.39,22070.67,3246964.13,816024.96,419508.04,348992.92,106127.76,744501.02,2435154.69
102,20250601,9,13,30,48840000,40909000,3206252.11,393940.73,23130.01,3623322.86,891310.79,433683.31,306844.64,114507.46,1095999.75,2842345.95
103,20250701,9,13,29,47212000,44517000,3258274.24,330825.61,23262.64,3612362.49,978523.2,457501.79,353319.92,115361.27,906294.04,2811000.21
104,20250801,9,13,30,48840000,45457500,3694473.6,299484.5,21915.38,4015873.48,900582.5,454835.81,354495.65,126193.29,1089249.04,2925356.28
105,20250901,9,13,29,47212000,33555500,2889691.01,260025.53,22658.51,3172375.05,926584.24,425201.26,361524.74,118849.4,812012.88,2644172.52
106,20251001,9,13,30,48840000,36767500,2806115.98,300494.72,19778.87,3126389.58,1002073.18,455300.38,340110.26,134394.44,798061.56,2729939.83
107,20251101,9,13,29,47212000,37284500,2964290.79,272385.92,28343.38,3265020.09,963964.09,474107.27,320593.56,121241.34,1007963.32,2887869.58
108,20251201,9,13,31,50468000,47058000,3865504.5,388463.52,27207.46,4281175.48,1057322.02,509699.83,327677.55,132479.73,846915.77,2874094.91
109,20250101,10,13,25,81400000,70037000,6019172.33,591032.78,16059.18,6626264.29,1424483.84,791959.58,613075.86,101223.73,1567750.9,4498493.91
110,20250201,10,13,17,55352000,36619000,3090508.25,297539.62,11834.58,3399882.46,1059221.7,567710.21,419308.16,65143.89,1087411.4,3198795.35
111,20250301,10,13,27,87912000,62458000,5051374.18,389987.55,23322.41,5464684.14,1700636.72,789017.29,674337.75,112795.56,1593157.62,4869944.94
112,20250401,10,13,22,71632000,53119000,4403360.12,472685.83,16205.51,4892251.47,1229267.16,680276.45,455296.02,89825.69,1341572.03,3796237.34
113,20250501,10,13,22,71632000,51788000,4730261.75,286058.72,18454.28,5034774.74,1327499.9,686653.04,537274.65,89193.45,1571602.41,4212223.45
114,20250601,10,13,27,87912000,67012000,6046902.14,400569.46,21393.91,6468865.51,1778826.71,801254.99,536260.74,123119.04,1349387.15,4588848.63
115,20250701,10,13,18,58608000,51227000,3918844.42,318639.88,16649.48,4254133.77,1023295.11,596801.44,451045.09,77461.16,1036984.63,3185587.42
116,20250801,10,13,22,71632000,60511000,4977083.06,657672.23,20875.91,5655631.2,1266629.36,703449.55,507303.75,85769.71,1218847.98,3782000.35
117,20250901,10,13,26,84656000,55143000,4641923.23,328731.55,22594.53,4993249.31,1531772.7,882013.87,554263.88,114067.24,1494280.41,4576398.1
118,20251001,10,13,24,78144000,55638000,4406441.13,302582.67,21613.72,4730637.53,1551409.5,703317.48,515785.56,99612.76,1631441.85,4501567.16
119,20251101,10,13,18,58608000,43483000,3520191.03,458017.17,15119.76,3993327.96,1211052.45,585856.71,378571.31,73763.68,1210000.94,3459245.08
120,20251201,10,13,21,68376000,62986000,5330072.98,738554.29,17094.9,6085722.17,1185803.3,596600.31,526949.82,88177.97,1253371.42,3650902.82
121,20250101,11,13,31,48082240,44712920,3878998.56,405922.41,21953.27,4306874.24,944790.48,460464.93,300633.13,130233.06,944236.51,2780358.1
122,20250201,11,13,28,43429120,30737840,2737687.69,324353.31,23728.03,3085769.02,854394.51,418091.01,283952.65,126436.89,857629.29,2540504.34
123,20250301,11,13,31,48082240,36318440,3044353.74,218355.15,21308.57,3284017.46,945162.82,490685.27,302231.97,130272.62,749407.74,2617760.42
124,20250401,11,13,29,44980160,34830280,3265276.02,423653.71,20979.3,3709909.03,858954.69,398608.91,297364.66,119191.69,739966.61,2414086.56
125,20250501,11,13,30,46531200,36381320,3220764.29,416704.93,25134.12,3662603.33,1004871.76,419575.28,311376.73,121692.12,889551.98,2747067.88
126,20250601,11,13,30,46531200,38335840,2988044.09,349717.6,21011.61,3358773.29,972152.75,427793.78,319342.57,134467.79,821761.28,2675518.16
127,20250701,11,13,30,46531200,43512960,3547243.7,290434.16,24252.66,3861930.53,953308.3,456904.4,342281.27,121303.7,970088.73,2843886.4
128,20250801,11,13,30,46531200,42706000,4004285.14,369905.3,23794.45,4397984.89,992020.2,461292.56,339192.46,125986.8,906185.31,2824677.33
129,20250901,11,13,29,44980160,31314240,2357698.11,189665.86,26819.43,2574183.4,878120.07,388843.32,347682.67,113191.52,828601.83,2556439.42
130,20251001,11,13,30,46531200,35521960,2843677.69,314350.45,24776.79,3182804.92,898579.98,424766.69,327684.75,134959.52,792323.82,2578314.76
131,20251101,11,13,29,44980160,35888760,2970688.93,355856.7,27816.91,3354362.54,912510.34,428108.19,279360.87,117932.08,706540.17,2444451.64
132,20251201,11,13,30,46531200,44036960,3562825.54,333549.09,24059.67,3920434.3,876989.91,404019.01,316527.25,137868.8,819770.01,2555174.99
133,20250101,12,1,46,15980400,14276210,1089679.12,113845.08,13487.53,1217011.73,259700.01,163777.69,163983.2,129675.23,402130.52,1119266.64
134,20250201,12,1,45,15633000,10757820,853314.91,97608.94,10396.93,961320.77,281167.06,133994.9,171474.84,125842.36,434633.74,1147112.9
135,20250301,12,1,38,13201200,9287160,681061.86,53056.63,9012.26,743130.75,207647.71,124748.37,162721.89,89918.81,310455.13,895491.9
136,20250401,12,1,44,15285600,11794230,897473.66,115106.96,12060.81,1024641.43,278331.8,147833.17,183511.3,117079.2,434030.21,1160785.68
137,20250501,12,1,44,15285600,11128380,832230.45,67805.24,10584.78,910620.47,260243.57,155681.7,162567.93,124857.35,390077.21,1093427.75
138,20250601,12,1,46,15980400,12938720,1054689.14,91309.63,8939.84,1154938.6,259608.22,147736.31,195364.56,124745.2,435334.76,1162789.06
139,20250701,12,1,42,14590800,13083470,1020236.04,76925.22,10886.69,1108047.95,223288.71,130828.94,168157.37,108674.81,407519.66,1038469.51
140,20250801,12,1,45,15633000,13620010,1093904.16,150073.88,12791.13,1256769.16,267555.29,150315.18,195249.52,123374.38,406671.31,1143165.68
141,20250901,12,1,40,13896000,9375940,749553.79,85999.06,9669.41,845222.25,217454.83,120059.38,154969.18,101346.17,397504.51,991334.06
142,20251001,12,1,44,15285600,11442970,827784.09,56162.3,9605.72,893552.1,230809.1,132859.3,184863.35,120657.06,376050.19,1045239.0
143,20251101,12,1,41,14243400,10815720,848960.76,53178.54,9524.08,911663.37,241534.99,148221.55,147277.6,99229.92,357454.32,993718.37
144,20251201,12,1,43,14938200,13517720,966995.82,106453.8,9569.5,1083019.12,234009.44,129731.78,185692.84,118479.11,354427.47,1022340.64
145,20250101,13,13,30,51948000,47607300,4422358.41,566443.78,24300.57,5013102.76,1113130.66,532223.64,378173.01,114204.13,1070527.78,3208259.22
146,20250201,13,13,28,48484800,35041500,3230297.52,356195.71,26515.94,3613009.17,953612.1,468757.87,341419.28,106406.36,816411.88,2686607.5
147,20250301,13,13,30,51948000,39528450,3413608.21,280103.78,22627.44,3716339.43,926404.96,459249.05,360345.05,126232.19,831095.42,2703326.68
148,20250401,13,13,29,50216400,39440700,3281332.27,355837.55,28071.97,3665241.79,965792.15,444852.49,389812.64,122442.13,856141.78,2779041.18
149,20250501,13,13,30,51948000,40792050,3757003.42,499250.77,24524.58,4280778.78,925460.96,505826.02,382999.94,126664.81,941494.23,2882445.96
150,20250601,13,13,28,48484800,40762800,3474939.52,396910.84,20822.86,3892673.23,1003087.79,415114.52,344668.36,125730.1,979707.61,2868308.37
151,20250701,13,13,31,53679600,49713300,4038589.08,420311.81,28331.77,4487232.66,1137346.86,524026.56,415686.22,120270.52,1085483.49,3282813.64
152,20250801,13,13,31,53679600,48753900,4433046.15,281396.88,28811.47,4743254.49,1113761.4,542054.14,359201.37,122758.4,903427.0,3041202.3
153,20250901,13,13,29,50216400,34433100,3074145.86,231227.41,19875.18,3325248.44,976067.57,442350.52,335469.8,112912.4,964285.57,2831085.87
154,20251001,13,13,31,53679600,41850900,3925869.36,255981.26,20266.73,4202117.35,1112506.89,467487.32,414301.15,132228.47,934964.96,3061488.8
155,20251101,13,13,30,51948000,41535000,3894554.87,502532.14,24450.96,4421537.96,1062349.61,536514.03,369016.95,124022.0,836394.23,2928296.83
156,20251201,13,13,30,51948000,49625550,4091781.96,471715.92,28406.55,4591904.43,923904.89,507989.55,321836.71,137155.68,949860.88,2840747.72
157,20250101,14,13,31,54964240,51394200,4159511.09,279700.94,26336.7,4465548.73,1146626.07,509729.48,383527.25,123921.73,1148255.86,3312060.4
158,20250201,14,13,28,49645120,35029520,2871360.51,215847.16,20323.73,3107531.4,1007210.42,477371.57,335353.43,121034.26,759641.6,2700611.28
159,20250301,14,13,30,53191200,40133000,3147974.31,410241.2,23147.96,3581363.47,1044423.5,466625.71,391501.0,138474.59,1107311.99,3148336.8
160,20250401,14,13,30,53191200,43217850,3843324.64,360386.35,21160.14,4224871.12,937305.21,550651.8,337277.57,133107.29,920425.99,2878767.85
161,20250501,14,13,30,53191200,41085410,3488315.85,368573.95,27251.98,3884141.78,1000968.43,498454.71,336379.1,124000.42,1130012.4,3089815.06
162,20250601,14,13,30,53191200,44517680,3794924.97,369707.77,21531.38,4186164.13,1013780.3,536306.87,351279.17,133595.58,815181.2,2850143.11
163,20250701,14,13,30,53191200,50459760,4445533.21,390534.68,30814.53,4866882.43,1129546.9,520167.81,367693.97,131254.85,1189470.86,3338134.4
164,20250801,14,13,31,54964240,50160260,4426881.94,405578.01,30539.52,4862999.48,996586.49,554666.34,385447.34,124669.0,1030560.53,3091929.69
165,20250901,14,13,28,49645120,34963630,3071304.84,315262.26,20885.53,3407452.63,935467.24,466310.91,372048.04,122597.13,788640.89,2685064.21
166,20251001,14,13,30,53191200,41271100,3432806.51,457781.51,21504.44,3912092.47,1024334.26,506000.26,339880.52,130748.39,971367.55,2972330.99
167,20251101,14,13,29,51418160,41486740,3577697.44,251348.14,24453.04,3853498.61,969572.43,531558.73,384389.55,129546.52,1024634.67,3039701.89
168,20251201,14,13,31,54964240,52418490,4355270.49,487111.26,21177.59,4863559.34,1046376.78,520252.39,411692.9,127090.11,979194.59,3084606.78
169,20250101,15,13,37,32856000,29076000,2215869.45,150469.66,33638.08,2399977.19,652409.43,342514.68,227927.63,87815.15,683202.79,1993869.68
170,20250201,15,13,41,36408000,24903000,2155910.58,194495.53,26090.27,2376496.39,755331.17,328504.42,279165.6,110882.91,665788.6,2139672.7
171,20250301,15,13,46,40848000,29487000,2344417.73,313319.12,40495.91,2698232.76,920639.58,375576.44,305591.77,114379.03,724722.3,2440909.12
172,20250401,15,13,47,41736000,31338000,2756512.5,218777.69,42782.13,3018072.32,940538.55,372437.74,314792.68,133557.54,798226.15,2559552.66
173,20250501,15,13,43,38184000,28494000,2288528.14,218267.75,34484.35,2541280.23,764534.78,331161.07,278461.92,117835.19,730238.86,2222231.81
174,20250601,15,13,48,42624000,34350000,2779790.85,262484.92,43041.77,3085317.53,957234.56,439939.54,299718.07,132721.68,719714.88,2549328.74
175,20250701,15,13,43,38184000,34188000,2819672.61,294503.04,34328.87,3148504.52,746947.31,362230.93,243030.08,117006.0,824180.89,2293395.2
176,20250801,15,13,46,40848000,35556000,2842812.31,346535.24,30988.78,3220336.33,856791.77,377673.81,270815.25,126696.76,766121.7,2398099.28
177,20250901,15,13,43,38184000,25593000,2023223.03,209502.65,32062.93,2264788.6,778615.39,376180.31,250483.37,122924.71,808535.86,2336739.65
178,20251001,15,13,47,41736000,30459000,2614322.78,182059.49,32469.68,2828851.96,896715.16,370678.22,254247.85,125838.01,708882.25,2356361.49
179,20251101,15,13,42,37296000,28872000,2397801.0,222167.79,40693.28,2660662.07,737279.85,336330.6,262345.23,109052.22,596357.72,2041365.62
180,20251201,15,13,47,41736000,38175000,2895538.64,314335.55,42441.68,3252315.88,809516.69,376942.1,258451.87,114597.03,754113.56,2313621.26
181,20250101,16,13,31,48082240,44131280,4231797.96,316895.61,20617.54,4569311.1,954817.35,498421.41,317976.88,121257.07,1022120.18,2914592.88
182,20250201,16,13,26,40327040,28799040,2369099.47,329870.35,18830.75,2717800.57,782832.79,359617.6,310045.85,113141.46,831482.84,2397120.54
183,20250301,16,13,30,46531200,36690480,3068614.06,209237.66,25159.28,3303011.0,913403.38,440022.45,322900.06,129257.46,739823.16,2545406.52
184,20250401,16,13,30,46531200,36538520,3037472.75,271984.69,24340.84,3333798.28,881726.19,410131.89,288102.0,116489.91,931574.92,2628024.92
185,20250501,16,13,30,46531200,36596160,3606840.82,432295.79,26494.04,4065630.64,834274.05,444721.41,283976.46,115026.99,736242.48,2414241.39
186,20250601,16,13,23,35673920,29354480,2521810.9,250393.74,23290.34,2795494.98,703196.09,370731.5,235032.63,95272.02,709513.0,2113745.25
